Kode Produk,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec,20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun,20-Jul,20-Aug,20-Sep,20-Oct,20-Nov,20-Dec,Cluster
P1,56,7,8,14,16,10,21,20,68,21,37,55,58,7,59,17,6,9,62,67,62,67,77,11,0
P2,164,190,188,164,235,139,662,240,138,90,494,112,179,119,349,367,227,55,222,220,85,336,153,103,1
P3,65,58,79,109,50,51,73,92,28,68,72,95,49,49,51,121,23,30,26,19,23,21,20,7,0
P4,243,304,321,241,191,97,276,165,170,195,231,185,297,77,239,304,72,102,102,113,112,102,118,120,1
P5,10,13,24,14,28,9,19,10,24,13,22,10,130,10,23,16,11,7,10,16,18,18,23,22,0
P6,117,201,89,105,126,69,142,131,220,125,185,122,302,93,163,122,66,79,76,103,92,94,116,73,1
P7,0,0,50,0,50,0,0,0,0,0,0,0,100,0,0,-5,0,5,0,0,0,0,0,0,0
P8,0,40,10,20,31,10,48,-6,36,28,40,37,0,7,0,-5,0,0,0,1,2,11,0,2,0
P9,573,536,551,864,749,324,367,523,405,506,446,499,641,622,808,338,267,0,210,337,394,174,266,395,1
P10,77,116,96,86,111,83,91,50,74,90,94,112,101,122,80,81,62,36,41,71,32,71,53,42,1
P11,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
P12,4,0,9,1,7,4,9,4,14,4,1,14,101,2,7,6,3,5,19,2,3,6,9,3,0
P13,12,5,27,5,12,20,13,6,20,33,38,19,72,52,34,12,5,26,13,6,10,12,20,30,0
P14,37,22,50,49,43,67,72,63,77,93,104,81,167,106,106,128,68,106,80,69,76,85,74,65,1
P15,2,0,0,0,4,1,6,1,1,1,2,1,78,0,0,0,0,0,0,0,1,0,0,0,0
P16,58,32,38,34,53,14,76,38,47,60,41,56,36,64,46,37,31,35,46,57,12,13,54,39,0
P17,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0
P18,171,248,194,234,79,84,49,38,176,26,130,67,211,53,213,27,30,7,47,31,20,13,50,16,1
P19,0,0,0,11,131,0,200,120,60,52,68,72,0,120,77,44,0,0,72,120,0,0,0,72,0
P20,0,31,5,3,26,9,5,5,5,0,0,20,12,3,12,0,0,-2,9,0,0,0,5,3,0
P21,0,0,0,0,0,0,0,0,0,5,2,3,0,5,2,0,0,0,0,0,0,0,0,0,0
P22,74,75,71,73,121,91,143,171,60,53,123,55,54,117,84,104,123,88,109,57,59,67,186,33,1
P23,15,43,7,33,26,7,11,35,30,6,33,33,0,-18,0,0,0,-2,0,0,0,0,0,0,0
P24,0,50,50,0,0,2,0,0,0,0,0,0,3205,3477,2620,3488,1028,3109,1399,1869,2184,3210,2794,1243,4
P25,1551,4796,3234,2736,2347,4675,2659,2900,2004,1736,3315,305,0,6,0,52,7,0,7,3,205,36,5,13,3
P26,3,7,0,7,1,7,6,0,1,8,1,2,146,28,146,140,-2,14,52,31,23,17,26,92,0
P27,502,645,492,433,625,137,292,186,89,100,43,159,241,220,237,236,9,38,38,67,73,80,77,75,1
P28,0,0,0,0,0,0,0,0,0,178,132,152,177,254,66,233,74,8,198,191,380,91,217,19,1
P29,347,21,101,71,293,183,143,280,57,239,285,20,42,20,32,55,62,10,56,54,27,137,82,25,1
P30,34,55,73,62,11,40,34,67,46,75,141,63,36,15,1,31,6,30,6,0,12,6,6,0,0
P31,30,30,5,8,24,6,14,48,12,12,5,17,12,10,15,0,8,0,18,-3,5,-17,0,19,0
P32,18,5,26,18,14,8,34,16,27,47,16,3,2,39,119,1,0,208,49,74,626,1294,30,966,1
P33,41,41,49,2,36,22,34,10,32,22,35,9,44,28,65,33,23,19,26,45,17,26,47,17,0
P34,56,75,70,45,68,49,56,69,58,51,52,40,5,108,50,172,15,261,33,142,1,128,20,122,1
P35,37,65,58,31,57,72,80,37,100,75,69,15,15,165,0,0,0,0,55,133,0,0,0,0,0
P36,300,250,0,300,150,255,450,350,0,150,0,180,5,5,0,7,1,3,3,5,3,13,2,7,1
P37,17,17,5,9,22,3,5,6,2,7,11,14,60,79,37,258,18,43,137,74,117,55,142,136,0
P38,179,45,29,44,44,74,82,40,39,115,91,45,8,27,3,44,4,0,13,15,3,28,49,20,0
P39,5,4,12,9,6,11,6,0,2,6,8,1,40,-20,458,0,0,0,0,0,500,100,0,0,0
P40,0,188,300,200,300,240,0,60,0,0,400,0,2130,1372,1971,1158,896,772,1151,844,792,620,1265,910,4
P41,2360,2060,1462,1634,1961,1902,1044,1184,1508,1863,1775,1599,333,233,113,69,577,180,240,270,164,232,307,170,3
P42,347,135,670,100,447,718,30,403,325,334,426,18,104,122,165,134,81,156,140,87,104,131,86,122,1
P43,167,216,112,126,155,126,174,102,129,135,114,120,154,105,158,124,48,134,62,103,101,90,110,30,1
P44,25,85,53,47,41,39,60,68,111,52,73,63,0,0,10,0,0,8,0,0,3,0,0,2,0
P45,0,-22,0,0,0,0,0,0,0,0,0,18,0,8,0,3,0,0,4,4,0,0,6,2,0
P46,8,14,-2,0,7,0,0,-7,0,0,2,5,0,1,2,0,0,0,9,10,14,49,0,0,0
P47,25,6,0,0,2,0,-6,0,19,4,34,0,0,0,0,0,0,0,0,0,0,10,0,0,0
P48,0,4,0,0,0,0,0,0,0,0,0,0,251,240,240,163,175,162,191,140,265,145,273,168,1
P49,236,310,187,191,179,124,272,209,210,325,123,194,161,88,120,136,62,176,176,58,176,413,450,405,1
P50,55,78,50,59,65,8,114,77,123,170,95,263,0,264,0,0,0,0,0,0,0,0,0,0,0
P51,2,1,-21,4,6,0,0,-3,0,25,10,0,1977,2419,1634,1425,969,638,640,873,602,1624,1640,721,4
P52,1623,1715,1774,1812,2701,1389,2429,3388,1961,2597,3422,1417,83,101,91,12,0,24,-23,2,68,62,30,11,3
P53,356,55,216,179,82,65,134,2,132,23,96,33,0,0,0,0,0,0,0,0,0,0,-5,0,0
P54,1264,1049,1317,962,1008,394,659,1046,213,0,0,2,19,105,21,176,50,306,16,12,0,110,5,22,1
P55,0,0,0,0,0,0,0,0,90,84,207,1,89,85,94,45,42,78,66,100,64,72,102,97,0
P56,137,137,121,104,190,104,138,187,158,108,127,90,65,75,164,61,87,27,176,50,35,110,41,86,1
P57,219,95,208,216,122,181,170,116,162,31,151,33,136,49,85,35,24,31,40,42,50,48,50,43,1
